"","userID","placeID"
"1","U1077",135085
"2","U1077",135038
"4","U1077",135060
"5","U1068",135104
"6","U1068",132740
"7","U1068",132663
"8","U1068",132732
"9","U1068",132630
"10","U1067",132584
"11","U1067",132733
"13","U1067",132630
"14","U1067",135104
"16","U1103",132584
"17","U1103",132732
"19","U1103",132613
"20","U1103",132667
"22","U1103",132663
"23","U1103",132733
"24","U1107",132660
"27","U1044",135088
"29","U1070",132608
"30","U1070",132609
"31","U1070",132613
"34","U1031",132668
"36","U1023",132715
"37","U1023",132717
"38","U1082",132613
"39","U1082",132594
"41","U1082",132609
"42","U1082",132663
"43","U1082",132560
"44","U1060",132564
"46","U1060",132733
"47","U1060",132740
"48","U1015",135071
"49","U1123",132733
"53","U1123",132667
"55","U1123",132613
"56","U1123",132594
"58","U1026",132626
"59","U1021",132668
"60","U1021",132715
"61","U1044",134987
"63","U1083",132723
"64","U1083",135046
"65","U1108",135075
"66","U1108",132572
"67","U1108",135074
"68","U1108",135028
"70","U1108",135032
"71","U1108",135086
"72","U1108",132723
"73","U1108",135046
"76","U1012",134983
"77","U1012",134996
"78","U1093",135019
"79","U1093",134996
"80","U1093",135001
"82","U1093",134999
"83","U1030",135018
"84","U1093",135013
"86","U1012",134986
"87","U1012",135018
"88","U1030",135088
"92","U1030",132767
"94","U1030",135109
"95","U1030",134996
"96","U1066",135011
"97","U1066",134999
"100","U1127",134987
"101","U1127",134996
"102","U1017",132768
"104","U1017",134975
"105","U1017",134983
"106","U1066",132767
"107","U1100",135021
"109","U1066",135013
"111","U1100",135001
"112","U1100",132768
"113","U1100",134976
"115","U1133",134986
"117","U1133",132767
"119","U1133",135001
"121","U1133",134992
"124","U1072",135016
"126","U1072",135088
"127","U1026",132561
"129","U1026",132654
"130","U1026",132665
"131","U1023",132740
"134","U1080",132660
"135","U1080",132733
"136","U1080",132608
"138","U1063",132584
"139","U1063",132609
"140","U1063",135104
"141","U1063",132667
"143","U1080",132715
"144","U1082",132732
"146","U1074",135011
"152","U1117",135016
"153","U1117",132773
"155","U1118",132583
"157","U1118",135021
"158","U1118",134983
"159","U1118",135001
"161","U1020",135088
"162","U1020",132768
"163","U1020",134996
"164","U1020",135109
"165","U1051",135088
"166","U1051",135109
"167","U1051",132768
"168","U1055",135051
"170","U1055",132572
"171","U1055",135028
"173","U1083",132572
"174","U1083",135049
"175","U1055",135106
"176","U1083",135072
"177","U1083",135074
"179","U1083",135044
"180","U1055",135048
"181","U1055",135047
"184","U1053",135076
"185","U1053",135032
"186","U1053",132825
"187","U1053",135063
"188","U1035",135018
"189","U1035",132773
"191","U1053",135053
"192","U1053",132754
"193","U1035",132583
"194","U1053",135081
"195","U1053",135025
"197","U1053",135060
"198","U1053",135062
"199","U1053",135047
"200","U1064",135042
"201","U1081",135069
"202","U1064",135057
"203","U1081",135076
"204","U1081",135043
"205","U1064",135069
"206","U1081",135039
"208","U1064",135052
"209","U1081",132825
"210","U1081",135032
"211","U1081",135028
"212","U1081",135085
"217","U1001",132825
"218","U1014",135076
"222","U1014",135050
"223","U1088",135057
"224","U1014",135081
"225","U1014",135057
"227","U1088",135041
"228","U1088",135069
"229","U1088",135082
"230","U1014",135043
"233","U1088",135054
"235","U1014",135066
"236","U1088",135032
"237","U1088",135081
"238","U1088",135051
"239","U1014",132830
"240","U1014",135082
"241","U1056",135066
"242","U1056",135050
"245","U1056",135062
"247","U1056",135085
"249","U1056",132825
"250","U1056",135051
"251","U1134",135047
"252","U1134",135026
"253","U1134",135044
"254","U1134",132825
"255","U1134",135059
"256","U1134",135065
"257","U1134",135046
"258","U1134",135085
"259","U1134",135079
"260","U1134",135055
"265","U1134",135064
"266","U1134",135074
"267","U1106",135041
"268","U1126",135069
"270","U1126",135057
"271","U1126",132830
"272","U1106",135028
"273","U1126",135040
"274","U1126",135106
"275","U1126",135052
"276","U1126",135041
"277","U1126",135038
"278","U1126",135054
"279","U1126",135108
"282","U1044",132768
"283","U1124",135108
"285","U1124",135071
"286","U1124",135070
"288","U1124",135081
"289","U1124",135057
"290","U1124",135039
"291","U1124",135050
"292","U1018",135043
"293","U1125",135043
"294","U1125",135081
"297","U1125",135050
"298","U1125",135066
"300","U1119",134986
"301","U1119",135021
"303","U1125",135042
"304","U1119",132583
"305","U1125",135063
"306","U1119",132768
"308","U1125",135038
"310","U1018",135081
"311","U1018",135057
"313","U1018",135032
"315","U1018",135025
"317","U1018",135108
"320","U1076",135027
"321","U1076",135042
"322","U1022",135040
"325","U1022",135025
"328","U1022",135060
"329","U1022",135052
"331","U1022",135081
"333","U1022",135051
"334","U1022",135073
"335","U1022",135062
"337","U1094",135054
"339","U1094",135057
"342","U1094",135070
"343","U1094",135108
"344","U1094",135069
"345","U1116",135047
"346","U1116",135060
"347","U1116",135038
"349","U1116",135052
"351","U1116",135059
"352","U1116",135027
"354","U1116",135030
"355","U1116",132834
"357","U1105",135069
"361","U1105",135054
"362","U1105",135039
"363","U1105",135052
"364","U1075",135081
"367","U1007",135108
"369","U1007",135057
"371","U1075",132834
"372","U1075",135057
"374","U1075",135062
"375","U1075",135039
"376","U1075",135051
"377","U1075",135041
"378","U1115",135057
"379","U1115",135082
"380","U1115",135054
"381","U1115",135108
"384","U1115",135070
"385","U1115",135071
"386","U1072",135000
"387","U1024",132834
"388","U1024",135106
"389","U1024",135042
"390","U1024",132825
"392","U1024",135032
"393","U1024",135039
"394","U1024",135045
"396","U1024",135073
"397","U1024",135051
"398","U1024",135041
"400","U1024",135028
"401","U1024",135030
"403","U1132",132825
"404","U1132",135085
"406","U1132",135025
"407","U1132",135052
"408","U1132",135028
"409","U1132",135032
"411","U1132",135027
"412","U1005",135050
"413","U1005",135076
"414","U1005",132830
"415","U1005",135066
"416","U1005",135041
"417","U1005",135057
"418","U1005",135043
"419","U1005",135042
"422","U1120",132845
"424","U1120",135045
"425","U1120",135038
"426","U1004",135060
"427","U1004",135028
"428","U1004",135106
"435","U1120",132847
"436","U1037",135054
"437","U1037",135082
"438","U1037",135070
"440","U1037",135108
"441","U1037",132847
"442","U1037",132830
"443","U1035",135000
"444","U1035",134996
"445","U1035",134986
"446","U1052",132851
"447","U1036",132834
"448","U1036",135064
"449","U1036",135079
"450","U1036",135042
"451","U1036",135085
"453","U1036",132825
"454","U1036",135059
"455","U1036",135052
"457","U1036",135065
"458","U1036",135045
"459","U1038",132854
"460","U1038",132856
"461","U1038",132858
"466","U1071",135052
"467","U1071",135060
"468","U1071",135042
"469","U1071",132825
"470","U1071",132856
"472","U1071",132834
"473","U1071",135039
"475","U1071",135025
"476","U1071",135030
"478","U1084",135058
"483","U1084",135035
"485","U1084",132861
"486","U1084",135085
"487","U1084",132723
"489","U1049",135041
"492","U1019",135038
"493","U1019",132856
"494","U1069",135070
"497","U1069",132858
"499","U1069",132846
"500","U1069",132845
"501","U1069",132851
"502","U1069",132847
"504","U1113",135057
"505","U1113",135085
"506","U1113",135032
"507","U1113",135079
"508","U1113",135046
"510","U1113",132854
"511","U1104",135039
"512","U1104",132825
"513","U1104",135085
"514","U1104",135030
"515","U1104",135062
"517","U1106",135052
"518","U1104",132834
"519","U1106",135106
"520","U1106",132754
"521","U1104",135052
"523","U1104",135032
"525","U1106",132834
"526","U1104",135047
"527","U1106",135042
"530","U1106",135066
"531","U1106",135085
"533","U1106",135062
"536","U1106",135079
"537","U1106",135064
"538","U1052",132869
"540","U1104",135041
"543","U1079",132768
"544","U1079",132766
"545","U1045",132825
"546","U1045",135064
"549","U1045",135032
"550","U1045",132834
"551","U1045",135052
"553","U1045",135051
"555","U1009",132754
"556","U1009",132862
"558","U1009",135059
"559","U1009",132834
"560","U1009",135058
"561","U1009",135038
"562","U1009",132825
"563","U1009",135052
"567","U1016",135042
"569","U1016",135106
"571","U1016",135045
"572","U1016",135060
"573","U1016",135066
"575","U1016",135052
"576","U1016",132862
"577","U1016",135051
"578","U1016",135062
"579","U1047",132875
"580","U1047",132877
"581","U1047",132884
"582","U1095",132872
"583","U1095",135034
"584","U1095",135058
"587","U1034",135049
"588","U1034",132723
"590","U1095",135086
"591","U1095",135055
"593","U1007",135085
"594","U1095",135064
"595","U1095",135035
"596","U1095",135072
"601","U1007",135038
"603","U1099",135076
"605","U1008",132866
"606","U1008",132858
"607","U1099",135043
"609","U1008",132854
"611","U1008",135108
"612","U1008",132851
"613","U1099",132856
"614","U1008",132869
"616","U1008",135069
"618","U1099",135060
"619","U1099",135045
"623","U1040",132773
"624","U1040",134999
"627","U1121",135021
"629","U1110",132767
"630","U1110",135013
"631","U1110",134999
"632","U1121",135019
"633","U1121",132767
"634","U1121",134999
"636","U1042",135021
"637","U1042",134996
"638","U1013",135079
"639","U1013",135072
"641","U1013",135076
"642","U1054",135062
"643","U1054",135060
"644","U1054",135039
"645","U1054",135052
"646","U1054",132856
"647","U1054",135051
"648","U1054",135025
"649","U1054",135041
"650","U1054",135038
"651","U1054",135032
"652","U1054",135045
"654","U1042",134992
"656","U1111",135071
"657","U1111",132858
"659","U1111",132877
"660","U1037",135071
"662","U1111",135108
"663","U1111",132869
"665","U1111",132870
"668","U1111",135082
"670","U1015",132845
"671","U1015",132866
"673","U1015",135054
"674","U1015",132869
"675","U1015",132851
"676","U1015",132877
"677","U1128",132872
"680","U1101",135027
"683","U1101",132856
"684","U1101",135032
"685","U1101",135038
"687","U1101",135052
"688","U1101",135041
"690","U1001",135040
"691","U1001",135039
"693","U1001",135033
"695","U1001",135051
"696","U1135",135085
"699","U1135",135041
"700","U1032",132872
"701","U1032",135058
"702","U1032",135079
"703","U1032",135085
"704","U1032",135042
"705","U1032",132856
"706","U1135",132825
"707","U1135",132834
"708","U1032",135038
"709","U1032",132834
"710","U1032",135060
"711","U1135",135058
"712","U1032",135032
"713","U1135",135063
"714","U1135",132856
"715","U1135",135045
"717","U1135",135032
"718","U1135",135042
"720","U1048",135049
"722","U1048",135034
"723","U1048",135048
"724","U1048",135065
"725","U1048",132755
"726","U1048",132723
"727","U1062",135085
"728","U1062",135053
"729","U1092",135071
"730","U1062",132825
"731","U1092",135085
"732","U1062",135052
"733","U1092",135046
"734","U1062",135062
"735","U1092",132572
"736","U1062",135038
"737","U1062",135045
"739","U1062",132834
"740","U1092",132723
"742","U1013",132875
"743","U1085",135043
"744","U1085",132885
"745","U1085",135050
"746","U1085",135076
"747","U1085",135081
"748","U1109",135028
"749","U1109",132856
"751","U1085",135059
"753","U1085",132872
"755","U1109",135032
"759","U1109",135058
"760","U1109",135085
"762","U1109",132872
"763","U1078",135081
"764","U1078",135060
"765","U1078",135106
"766","U1078",135041
"767","U1078",132834
"768","U1078",135052
"769","U1019",135079
"770","U1102",132846
"771","U1098",132885
"772","U1098",135060
"773","U1098",132856
"774","U1046",135026
"776","U1122",135065
"778","U1122",135058
"779","U1122",132834
"780","U1122",132754
"781","U1122",135079
"783","U1122",135085
"784","U1122",135030
"786","U1122",135053
"788","U1138",132922
"789","U1138",132925
"790","U1013",132921
"791","U1098",135085
"792","U1098",132825
"793","U1098",135079
"794","U1098",135032
"795","U1098",135038
"796","U1098",132861
"797","U1098",135046
"798","U1098",132862
"801","U1034",135055
"802","U1034",135035
"803","U1033",135065
"804","U1033",135028
"805","U1033",135085
"806","U1033",135046
"808","U1033",132951
"810","U1033",132921
"813","U1033",135030
"815","U1089",135064
"816","U1089",135028
"818","U1003",135064
"819","U1089",132921
"822","U1003",135075
"823","U1089",135026
"824","U1003",132862
"825","U1089",132872
"826","U1089",135085
"827","U1003",135041
"829","U1089",132834
"830","U1003",132937
"832","U1089",135038
"833","U1003",132922
"835","U1091",135075
"838","U1091",132861
"839","U1003",132755
"840","U1091",132875
"842","U1091",135086
"843","U1003",135079
"845","U1091",135080
"846","U1027",132921
"847","U1091",132572
"850","U1091",135035
"861","U1029",132937
"863","U1029",132834
"865","U1029",132825
"866","U1029",132921
"868","U1029",132922
"870","U1086",132921
"871","U1086",135085
"874","U1086",135045
"875","U1086",135041
"877","U1086",132951
"878","U1019",132921
"880","U1137",132951
"881","U1019",135062
"882","U1019",135086
"883","U1137",135085
"884","U1137",132834
"885","U1090",132572
"886","U1137",132862
"887","U1137",135058
"888","U1137",135059
"889","U1137",135062
"890","U1137",132825
"891","U1137",132723
"892","U1137",132755
"893","U1137",135042
"894","U1137",132884
"895","U1137",135049
"897","U1114",132825
"898","U1114",135065
"900","U1114",132723
"901","U1114",132951
"903","U1114",132834
"904","U1114",135072
"905","U1114",132754
"906","U1114",132755
"910","U1061",135026
"911","U1061",132723
"912","U1061",135075
"913","U1061",135034
"914","U1061",135041
"915","U1013",132572
"916","U1013",135075
